,Urun,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
196,Honor 9X (STK-LX1),6.59 İnç,128 GB,4 GB,48puan,4000 mAh,Çift Hat,Yok,48 MP,Var,60 Hz,Android,Yok,"8.999,00"
197,Trident A25,6.53 İnç,128 GB,6 GB,48puan,4500 mAh,Çift Hat,Yok,48 MP,Var,60 Hz,Android,Var,"3.799,00"
198,Xiaomi Redmi Note 7,6.3 İnç,64 GB,4 GB,48puan,4000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,
199,Xiaomi Mi 8 SE (6 GB / 64 GB),5.88 İnç,64 GB,6 GB,48puan,3120 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
200,Xiaomi Mi Note 3 (64 GB),5.5 İnç,64 GB,6 GB,48puan,3500 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
201,LG G7 Fit (LM-Q850),6.1 İnç,32 GB,4 GB,48puan,3000 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
202,Meizu Pro 7 Plus,5.7 İnç,128 GB,6 GB,48puan,3500 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,,
203,Samsung Galaxy M13 (SM-M135F),6.6 İnç,64 GB,4 GB,48puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Yok,"4.794,19"
204,General Mobile GM 9 Pro d (Çift Hat),6.01 İnç,64 GB,4 GB,48puan,3800 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,"4.999,00"
205,General Mobile GM 9 Pro,6.01 İnç,64 GB,4 GB,48puan,3800 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Yok,"4.999,00"
206,OnePlus 5T (64 GB),6.01 İnç,64 GB,6 GB,48puan,3300 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
207,Xiaomi Mi 8 Lite (128 GB / 6 GB),6.26 İnç,128 GB,6 GB,48puan,3350 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
208,Samsung Galaxy A04s (128 GB),6.5 İnç,128 GB,4 GB,48puan,5000 mAh,Çift Hat,Var,50 MP,Var,90 Hz,Android,Yok,"4.975,13"
